x,y,address
-95.27573439999999,29.7169314,8300 CHANNELSIDE 
-95.3051122,29.7008935,3000 GOLFCREST BLVD
-95.3696513,29.6756425,8000 BRANDON ST
-95.32368319999999,29.6656691,6000 BELARBOR ST
-95.3836432,29.705043,2700 HOLCOMBE BLVD
-95.42470540000001,29.6716829,10200 BUFFALO SPEEDWAY 
-95.39460129999999,29.688927,8200 CAMBRIDGE ST
-95.4107557,29.6049345,600 ANDERSON RD
-95.4561019,29.6015831,5100 MARKWOOD LN
-95.5222934,29.6932967,7600 BEECHNUT ST
-95.52708609999999,29.6805675,8400 NAIRN 
-95.5080277,29.6921748,7000 BEECHNUT ST
-95.558093,29.654692,11500 KEEGANS RIDGE RD
-95.5339292,29.6732899,9000 BRAESWOOD BLVD
-95.3152341,29.6665649,6400 BELLFORT ST
-95.5086336,29.6948066,11000 LARKWOOD DR
-95.521102,29.727766,3400 FONDREN RD
-95.5452016,29.8272756,3200 GESSNER DR
-95.5378138,29.7147374,8600 SANDS POINT DR
-95.54376169999999,29.6754203,9500 BISSONNET ST
-95.56541349999999,29.6671097,10400 SOUTH DR
-95.3694708,29.7570609,1200 LOUISIANA ST
-95.36682100000002,29.7481155,1400 ST JOSEPH PKWY
-95.3705707,29.7601289,1000 BAGBY ST
-95.54042199999999,29.7226648,10000 WESTPARK DR
-95.58021939999999,29.7290599,3200 WOODLAND PARK DR
-95.5949418,29.7657314,14200 KELLYWOOD LN
-95.63203969999999,29.7251582,3200 JEWEL ANN DR
-95.6239588,29.7432025,2200 ELDRIDGE PKWY
-95.6253289,29.7482136,1900 ELDRIDGE PKWY
-95.311291,29.9041876,22200 EASTEX FWY
-95.36390689999999,29.79395409999999,3700 FULTON ST
-95.4296717,29.8282905,1200 43RD ST
-95.5404847,29.8129968,10000 HAMMERLY 
-95.5147288,29.8211522,9000 KEMPWOOD 
-95.5225581,29.8233433,3400 BLALOCK RD
-95.5054648,29.8587876,7500 WILSHIRE PLACE DR
-95.5477858,29.9617751,18200 TOMBALL PKWY
-95.4854479,29.8686177,6400 KING POST DR
-95.4928056,29.8873632,10100 INWOOD HOLLOW LN
-95.266769,29.8499337,6200 TIDWELL RD
-95.4409238,29.94181649999999,1300 GREENS PKWY
-95.4409238,29.94181649999999,1300 GREENS PKWY
-95.33828229999999,29.7707671,1100 SYDNOR CT
-95.3342339,29.7828466,2300 BRINGHURST ST
-95.3023983,29.8072806,6900 LOOP 
-95.33345299999999,29.7838472,2400 BLEKER ST
-95.324045,29.7969091,4600 CRANE ST
-95.2979044,29.8188188,7300 SAINT LOUIS 
-95.2500128,29.8415233,8900 STRATHMORE DR
-95.1916609,29.80604139999999,12400 WALLISVILLE RD
